"total_size","draw","method","accuracy","auc"
40,4,"LOGIS",0.8,0.8875
40,4,"SVM",0.85,0.9125
40,4,"KNN",0.65,0
40,4,"RF",0.775,0.85
40,4,"XGB",0.7,0.825
40,5,"LOGIS",0.75,0.8
40,5,"SVM",0.775,0.9125
40,5,"KNN",0.675,0
40,5,"RF",0.8,0.8625
40,5,"XGB",0.7,0.7375
40,6,"LOGIS",0.7,0.65
40,6,"SVM",0.775,0.7875
40,6,"KNN",0.575,0
40,6,"RF",0.75,0.73125
40,6,"XGB",0.775,0.875
40,7,"LOGIS",0.7,0.775
40,7,"SVM",0.75,0.825
40,7,"KNN",0.65,0
40,7,"RF",0.7,0.825
40,7,"XGB",0.8,0.8
40,8,"LOGIS",0.775,0.8375
40,8,"SVM",0.8,0.825
40,8,"KNN",0.775,0
40,8,"RF",0.75,0.825
40,8,"XGB",0.825,0.875
40,9,"LOGIS",0.75,0.7
40,9,"SVM",0.75,0.7375
40,9,"KNN",0.65,0
40,9,"RF",0.65,0.7
40,9,"XGB",0.725,0.8375
40,10,"LOGIS",0.8,0.875
40,10,"SVM",0.8,0.8875
40,10,"KNN",0.75,0
40,10,"RF",0.8,0.9125
40,10,"XGB",0.825,0.875
40,11,"LOGIS",0.65,0.7625
40,11,"SVM",0.725,0.8
40,11,"KNN",0.7,0
40,11,"RF",0.7,0.75625
40,11,"XGB",0.675,0.7125
40,12,"LOGIS",0.75,0.7875
40,12,"SVM",0.775,0.85
40,12,"KNN",0.8,0
40,12,"RF",0.825,0.80625
40,12,"XGB",0.75,0.775
40,13,"LOGIS",0.8,0.6875
40,13,"SVM",0.775,0.775
40,13,"KNN",0.75,0
40,13,"RF",0.775,0.7375
40,13,"XGB",0.65,0.7
40,14,"LOGIS",0.775,0.85
40,14,"SVM",0.725,0.875
40,14,"KNN",0.625,0
40,14,"RF",0.725,0.825
40,14,"XGB",0.85,0.89375
40,15,"LOGIS",0.7,0.6875
40,15,"SVM",0.775,0.775
40,15,"KNN",0.675,0
40,15,"RF",0.675,0.75
40,15,"XGB",0.675,0.6875
40,16,"LOGIS",0.75,0.85
40,16,"SVM",0.775,0.825
40,16,"KNN",0.75,0
