"MeanDecreaseGini","genes"
0.0590780604150115,"hsa.mir.320e"
0.119035384237512,"hsa.mir.323a"
0.560703981526041,"hsa.mir.323b"
0.760157967600276,"hsa.mir.324"
0,"hsa.mir.325"
0.416883295898999,"hsa.mir.326"
1.24661730716065,"hsa.mir.328"
0.306229644038716,"hsa.mir.329.1"
0.114567975430748,"hsa.mir.329.2"
0.33225731761693,"hsa.mir.330"
0.280674690225974,"hsa.mir.331"
0.172191708010908,"hsa.mir.335"
0.513055418448276,"hsa.mir.337"
0.414779680415424,"hsa.mir.338"
0.261266499087617,"hsa.mir.339"
0.560757762945452,"hsa.mir.33a"
0.800050680411483,"hsa.mir.33b"
1.03079001093567,"hsa.mir.340"
0.342510234224191,"hsa.mir.342"
0.481158553989464,"hsa.mir.345"
0.0414701572936867,"hsa.mir.346"
0.633450721477693,"hsa.mir.34a"
0.168862963058615,"hsa.mir.34b"
1.42012142328157,"hsa.mir.34c"
0,"hsa.mir.3529"
0.0193663236975337,"hsa.mir.3591"
0.947557192796294,"hsa.mir.3605"
0,"hsa.mir.3606"
1.06184979293904,"hsa.mir.3607"
0.304786540911304,"hsa.mir.3609"
1.72270859854798,"hsa.mir.361"
0.103783095990563,"hsa.mir.3610"
0.0518309663046505,"hsa.mir.3611"
0.0825595238095238,"hsa.mir.3612"
0.396325663747195,"hsa.mir.3613"
0.0919047619047619,"hsa.mir.3614"
0.214669740879766,"hsa.mir.3615"
0,"hsa.mir.3616"
0.121907805843582,"hsa.mir.3617"
0.163023116113738,"hsa.mir.3618"
0,"hsa.mir.3619"
0.501147404985024,"hsa.mir.362"
0.11330612244898,"hsa.mir.3620"
0,"hsa.mir.3621"
0.163635345600365,"hsa.mir.3622a"
0,"hsa.mir.3622b"
0.80500292546988,"hsa.mir.363"
0.0505453879566457,"hsa.mir.3646"
0,"hsa.mir.3648.1"
0,"hsa.mir.3648.2"
0,"hsa.mir.3649"
0.0731596933536096,"hsa.mir.3650"
0.148009846326904,"hsa.mir.3651"
0.180941382464305,"hsa.mir.3652"
0.482111598061777,"hsa.mir.3653"
0.0923119848956137,"hsa.mir.3654"
0.0689047619047619,"hsa.mir.3655"
0.0181818181818182,"hsa.mir.3656"
0,"hsa.mir.3657"
0.0187379300965594,"hsa.mir.3658"
0.016,"hsa.mir.3659"
0.466273020312232,"hsa.mir.365a"
